threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR,EXPERIMENTO
8,22,8,0.8178300000000001,228.4525,1
8,23,8,0.855082,229.06099999999998,1
8,24,8,0.8954385,229.09199999999998,1
8,25,8,0.971788,236.27249999999998,1
8,26,8,0.973381,227.77949999999998,1
1,1,8,0.913435,810.6095,2
1,2,8,0.9015905,835.355,2
1,3,8,0.7949174999999999,883.48,2
1,4,8,0.7667809999999999,852.348,2
1,5,8,0.7918545,829.5045,2
1,6,8,0.7867515,790.615,2
1,7,8,0.820157,819.009,2
1,8,8,0.8394174999999999,812.546,2
1,9,8,0.8843835,796.1765,2
1,10,8,0.893214,808.3299999999999,2
1,11,8,0.9199714999999999,797.6545,2
1,12,8,1.0551249999999999,796.5065,2
1,13,8,1.139115,791.4200000000001,2
1,14,8,1.1961249999999999,811.654,2
1,15,8,1.2398250000000002,809.981,2
1,16,8,1.3147199999999999,806.6415,2
1,17,8,1.36666,822.2139999999999,2
1,18,8,1.442755,810.972,2
1,19,8,1.4334600000000002,810.7545,2
1,20,8,1.5456699999999999,811.2275,2
1,21,8,1.707905,809.079,2
1,22,8,1.6354250000000001,815.9749999999999,2
1,23,8,1.72249,803.265,2
1,24,8,1.628365,818.351,2
1,25,8,1.8658350000000001,787.7035000000001,2
1,26,8,1.96483,831.9495,2
1,1,20,3.475675,4364.405000000001,3
2,1,20,1.945755,2377.63,3
3,1,20,2.053095,1780.5700000000002,3
4,1,20,1.86281,1501.675,3
5,1,20,1.91848,1346.3899999999999,3
6,1,20,2.01142,1272.92,3
7,1,20,1.9058549999999999,1044.9099999999999,3
8,1,20,1.94779,1095.6599999999999,3
9,1,20,1.946315,1034.23,3
10,1,20,1.950765,898.8515,3
11,1,20,1.9555250000000002,928.8495,3
12,1,20,2.005305,881.133,3
13,1,20,1.97436,915.1945000000001,3
14,1,20,1.9828000000000001,954.9645,3
15,1,20,2.00877,1020.63,3
16,1,20,2.11957,910.5875000000001,3
17,1,20,2.13457,868.438,3
18,1,20,2.035335,844.2629999999999,3
19,1,20,2.019455,828.9105,3
20,1,20,2.1316550000000003,719.973,3
1,1,1,0.261156,38.5669,4
1,1,2,0.2620315,103.0295,4
2,1,2,0.32760100000000003,54.69245,4
1,1,3,0.3798815,192.6605,4
2,1,3,0.45852550000000003,106.527,4
3,1,3,0.433752,72.82499999999999,4
1,1,4,0.4628985,323.20849999999996,4
2,1,4,0.6526540000000001,175.825,4
3,1,4,0.7593905,149.48149999999998,4
4,1,4,0.5742105,79.59700000000001,4
1,1,5,0.5482450000000001,447.62699999999995,4
2,1,5,0.8194095,258.3965,4
3,1,5,0.7295825,177.80149999999998,4
4,1,5,0.889254,193.382,4
5,1,5,0.6898655,101.8505,4
1,1,6,0.754065,550.827,4
2,1,6,0.9495585,334.89,4
3,1,6,0.82499,248.6095,4
4,1,6,0.864609,225.168,4
5,1,6,0.9082265,242.031,4
6,1,6,0.806352,124.30250000000001,4
1,1,7,0.881182,778.5505,4
2,1,7,1.02122,458.77549999999997,4
3,1,7,1.1460599999999999,377.2465,4
4,1,7,0.972227,262.78499999999997,4
5,1,7,0.9497545000000001,277.6585,4
6,1,7,0.9839235,295.94550000000004,4
7,1,7,0.9988285,176.702,4
1,1,8,0.849697,929.0435,4
2,1,8,1.0597699999999999,529.587,4
3,1,8,1.1503,389.25800000000004,4
4,1,8,0.9630995,272.065,4
5,1,8,0.9338295,290.935,4
6,1,8,0.9892639999999999,309.6925,4
7,1,8,1.055995,258.353,4
8,1,8,0.9989235000000001,186.4255,4
1,1,9,0.9966355,1215.215,4
2,1,9,1.266235,686.3389999999999,4
3,1,9,1.181515,490.30499999999995,4
4,1,9,1.30684,473.1095,4
5,1,9,1.096185,334.12,4
6,1,9,1.1176,349.7935,4
7,1,9,1.18871,390.27049999999997,4
8,1,9,1.2240099999999998,390.9055,4
9,1,9,1.17816,238.834,4
