threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,5,44,0.148739,139.87
1,5,45,0.204586,145.446
1,5,46,0.130865,145.203
1,5,47,0.192558,151.181
1,5,48,0.189166,152.197
1,5,49,0.208304,156.713
1,6,1,0.176508,3.54494
1,6,2,0.204052,6.74626
1,6,3,0.147396,10.1096
1,6,4,0.214091,13.0862
1,6,5,0.226314,16.4186
1,6,6,0.212472,19.4521
1,6,7,0.222982,23.2859
1,6,8,0.222624,25.8082
1,6,9,0.225052,29.4919
1,6,10,0.24004,32.2345
1,6,11,0.199481,36.0495
1,6,12,0.21753,38.5843
1,6,13,0.231687,41.8358
1,6,14,0.241561,44.6114
1,6,15,0.240162,48.434
1,6,16,0.238823,51.2559
1,6,17,0.224991,55.5765
1,6,18,0.21567,57.4136
1,6,19,0.17111,61.4596
1,6,20,0.234447,64.1362
1,6,21,0.242655,68.1634
1,6,22,0.211438,70.025
1,6,23,0.166646,74.6142
1,6,24,0.22739,76.8477
1,6,25,0.228374,80.4305
1,6,26,0.233508,82.5192
1,6,27,0.240743,86.7481
1,6,28,0.226591,89.8047
1,6,29,0.223539,93.7259
1,6,30,0.228931,95.3671
1,6,31,0.235869,100.054
1,6,32,0.239266,101.699
1,6,33,0.240877,105.655
1,6,34,0.238009,108.885
1,6,35,0.239335,112.275
1,6,36,0.209895,114.819
1,6,37,0.23344,119.116
1,6,38,0.219519,121.572
1,6,39,0.229281,125.983
1,6,40,0.236045,126.239
1,6,41,0.229117,131.873
1,6,42,0.230555,133.05
1,6,43,0.226795,138.605
1,6,44,0.250246,140.654
1,6,45,0.224751,145.268
1,6,46,0.240622,147.115
1,6,47,0.211822,151.27
1,6,48,0.234934,152.76
1,6,49,0.227025,157.928
1,7,1,0.227127,3.41093
1,7,2,0.166186,6.71548
1,7,3,0.189829,10.1913
1,7,4,0.22055,12.8894
1,7,5,0.21303,16.5912
1,7,6,0.244928,19.4846
1,7,7,0.241106,22.8979
1,7,8,0.254605,25.6848
1,7,9,0.231548,29.2862
1,7,10,0.234276,32.0949
1,7,11,0.245378,35.6551
1,7,12,0.244853,39.1107
1,7,13,0.252708,42.0966
1,7,14,0.214835,45.1881
1,7,15,0.216014,48.4696
1,7,16,0.254172,51.123
1,7,17,0.222981,55.5248
